"Species","variable","value.Barbilla","value.Cola","value.Corona","value.Esp_Inf","value.Esp_Med","value.Esp_Sup","value.Frente","value.Garganta","value.Hombro","value.Nuca","value.Panza","value.Parche_Malar","value.Pecho","value.Peso","Peso_log2"
"Gymnocichla nudiceps","UV",20.4410714285714,3.32130952380952,3.06599404761905,1.57908928571429,2.27305357142857,4.1477380952381,1.76519047619048,2.28253571428571,0.704264880952381,3.06577380952381,4.08833333333333,5.83791666666667,1.38140476190476,10,3.32192809488736
"Gymnocichla nudiceps","VIS",14.012890625,4.45771484375,3.02900390625,2.72069140625,3.675583984375,5.99640625,2.24552734375,7.703451171875,1.1488495703125,3.23080078125,10.2265625,10.0894921875,2.297392578125,10,3.32192809488736
"Gymnocichla nudiceps","NIR",11.0076647834275,10.8021845574388,4.80453860640301,6.56340866290019,9.49730696798493,12.9436911487759,5.29935969868173,28.5796610169492,3.80988700564972,5.52369114877589,20.4032015065913,17.435593220339,6.25531073446328,10,3.32192809488736
"Hemithraupis flavicollis","UV",10.6859523809524,3.48867857142857,0.0122315476190476,-0.356314583333333,3.39227976190476,3.49110119047619,0.498583214285714,2.03675214285714,2.27521547619048,1.65514107142857,8.00291666666667,0.0832275,2.57918011904762,13,3.70043971814109
"Hemithraupis flavicollis","VIS",17.3715234375,4.93603515625,0.61787521484375,0.44584478515625,4.90345703125,3.73278125,1.6802888671875,5.3304056640625,2.837479296875,1.90092890625,12.7961328125,2.6697732421875,5.7643943359375,13,3.70043971814109
"Hemithraupis flavicollis","NIR",20.968549905838,13.9746139359699,2.39393785310734,3.18109958568738,10.6142937853107,4.85338983050847,5.28195856873823,8.79195856873823,5.47097928436911,3.05602259887006,12.4195291902072,5.61747645951036,9.26661016949152,13,3.70043971814109
"Hemithraupis guira","UV",7.95541666666667,3.83565476190476,0.359250892857143,3.76363095238095,2.5789880952381,0.641804166666667,0.248347369047619,3.18620833333333,2.10915476190476,1.0295119047619,4.26934523809524,1.14233452380952,7.18303571428571,12,3.58496250072116
"Hemithraupis guira","VIS",13.26326171875,4.2577734375,0.8752658203125,5.295546875,3.25115234375,1.57241796875,0.75634453125,11.94263671875,3.73083984375,1.5950703125,6.22923828125,3.8856662109375,16.29880859375,12,3.58496250072116
"Hemithraupis guira","NIR",16.9632768361582,9.43580037664784,2.95216572504708,12.6750282485876,7.26900188323917,5.01696798493409,2.78421845574388,17.6943502824859,8.01928436911488,3.25613935969868,7.55241054613936,6.67337099811676,22.5107344632768,12,3.58496250072116
"Hylophilus flavipes","UV",6.78880952380952,8.17607142857143,4.46059523809524,2.43973214285714,4.5939880952381,5.31880952380952,0.909154761904762,9.80755952380952,6.15738095238095,4.68333333333333,11.4754761904762,1.329,20.697380952381,12,3.58496250072116
